S000002968	P43603
S000003368	P53281
S000003302	P53046
S000004417	Q06412
S000002367	P32495
S000001117	P38796
S000000687	P25341
S000005460	Q12236
S000002898	Q03407
S000001861	P43565
S000003324	P22204
S000005330	P53739
S000006315	P32328
S000005866	P52492
S000001656	P36048
S000005659	P32324
S000002793	P32324
S000004275	Q05874
S000003890	P47163
S000000475	P38347
S000004969	P53970
S000000195	P07251
S000003001	P53187
S000000201	P24583
S000000483	P38351
S000004126	P47977
S000002558	P47976
S000002333	P32891
S000006076	P28743
S000002242	Q07478
S000004619	Q04359
S000003241	P40357
S000005065	P07213
S000003629	P40310
S000006180	Q00776
S000000739	P39968
S000001889	P07560
S000006369	P06780
S000000242	P14180
S000000227	P29465
S000005136	P08004
S000002255	Q12377
S000002306	Q12250
S000001269	P40555
S000001524	P36095
S000005203	P38636
S000002988	P53192
S000006091	Q12091
S000004470	P27692
S000004607	P50105
S000005187	P33338
S000005787	Q08723
S000000927	P39940
S000002175	P06243
S000004230	P22543
S000005015	P12695
S000003425	P16451
S000005012	P41813
S000001393	P40466
S000000424	P38318
S000000423	P38317
S000004925	P32337
S000001858	P13433
S000003924	P54861
S000001709	P21576
S000005370	Q08096
S000004603	P32562
S000003064	P53147
S000006098	P41817
S000004156	Q06245
S000003740	P39531
S000001900	P43588
S000002375	Q12468
S000004064	Q08004
S000002796	P39743
S000000602	P25343
S000002650	P22580
S000003335	P53261
S000005548	Q12204
S000003762	P47083
S000004187	Q12460
S000006269	P25042
S000005730	P06634
S000006040	P24784
S000006044	Q02933
S000001253	P38893
S000005354	P53757
S000004628	Q04370
S000002549	P39108
S000005755	Q12206
S000002205	P20604
S000005146	P32573
S000001550	P36010
S000003124	P22855
S000004369	P09201
S000005299	Q00955
S000004820	P32874
S000000755	P39988
S000005310	P53727
S000003023	P21147
S000003966	P23900
S000004635	Q05080
S000001662	P34237
S000002591	Q04004
S000000679	P25372
S000005807	Q12017
S000001466	P32375
S000003588	P00360
S000003769	P00358
S000003424	P00359
S000001675	P32463
S000001406	P40460
S000000045	P39723
S000001338	P40509
S000003990	Q07888
S000003528	P0CX14
S000001439	P40434
S000005283	P53819
S000000992	P40105
S000003989	Q99208
S000003760	P40889
S000003933	Q07800
S000004009	Q07949
S000001046	P38757
S000004873	P38912
S000000316	P14922
S000006116	Q08951
S000004641	P40202
S000003865	P00445
S000000621	P25353
S000000742	P39997
S000003899	P47170
S000000966	P32657
S000004068	P25385
S000005378	Q08144
S000005632	Q12241
S000005562	P32854
S000006068	P41909
S000001671	P34230
